Object Number;Is Highlight;Is Timeline Work;Is Public Domain;Object ID;Gallery Number;Department;AccessionYear;Object Name;Title;Culture;Period;Dynasty;Reign;Portfolio;Constituent ID;Artist Role;Artist Prefix;Artist Display Name;Artist Display Bio;Artist Suffix;Artist Alpha Sort;Artist Nationality;Artist Begin Date;Artist End Date;Artist Gender;Artist ULAN URL;Artist Wikidata URL;Object Date;Object Begin Date;Object End Date;Medium;Dimensions;Credit Line;Geography Type;City;State;County;Country;Region;Subregion;Locale;Locus;Excavation;River;Classification;Rights and Reproduction;Link Resource;Object Wikidata URL;Metadata Date;Repository;Tags;Tags AAT URL;Tags Wikidata URL
11.161.4;FALSE;FALSE;TRUE;4558;774;The American Wing;1911;Jug;Jug;British;;;;;;;;;;;;;;;;;;1770–1800;1770;1800;Earthenware, transfer-printed;H. 7 in. (17.8 cm);Gift of William F. Havemeyer, 1911;Made in;Liverpool;Merseyside;Merseyside;England;;;;;;;;;http://www.metmuseum.org/art/collection/search/4558;https://www.wikidata.org/wiki/Q116366677;;Metropolitan Museum of Art, New York, NY;Men|George Washington;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ulan/500126198;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q23
11.60.329;FALSE;FALSE;TRUE;13617;;The American Wing;1911;Quilt;Quilt, Marseilles type;British;;;;;;;;;;;;;;;;;;ca. 1800–1820;1797;1820;Cotton, woven;120 x 132 in. (304.8 x 335.3 cm);Bequest of Maria P. James, 1911;Possibly made in;Manchester;Greater Manchester;Greater Manchester;England;;;;;;;;;http://www.metmuseum.org/art/collection/search/13617;;;Metropolitan Museum of Art, New York, NY;;;
17.113;FALSE;FALSE;TRUE;22632;372;Arms and Armor;1917;Gorget;Officer's Gorget;British;;;;;;;;;;;;;;;;;;late 18th century;1750;1800;Copper, gold, buckskin;H. 4 1/8 in. (10.46 cm);;;;;;;;;;;;;;;;;;;;;
11.188;FALSE;FALSE;FALSE;25645;;Arms and Armor;1911;Copy of a chessman;Copy of a Chessman;British;;;;;;;;;;;;;;;;;;late 19th–early 20th century;1851;1911;Plaster;H. 2 1/4 in. (5.7 cm);Gift of Sir Thomas Brock, 1911;;;;;;;;;;;;Chess Sets-Reproductions;;http://www.metmuseum.org/art/collection/search/25645;;;Metropolitan Museum of Art, New York, NY;Horses;http://vocab.getty.edu/page/aat/300250148;https://www.wikidata.org/wiki/Q726
11.60.281;FALSE;FALSE;TRUE;98048;;Costume Institute;1911;Collar;Collar;British;;;;;;;;;;;;;;;;;;1825–30;1825;1830;[no medium available];;Bequest of Maria P. James, 1910;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98048;;;Metropolitan Museum of Art, New York, NY;;;
09.68.604;FALSE;FALSE;TRUE;98180;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98180;;;Metropolitan Museum of Art, New York, NY;;;
09.68.605;FALSE;FALSE;TRUE;98181;;Costume Institute;1909;Bib;Bib;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98181;;;Metropolitan Museum of Art, New York, NY;;;
09.68.607;FALSE;FALSE;TRUE;98183;;Costume Institute;1909;Biggin;Biggin;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98183;;;Metropolitan Museum of Art, New York, NY;;;
09.68.609;FALSE;FALSE;TRUE;98185;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98185;;;Metropolitan Museum of Art, New York, NY;;;
09.68.610;FALSE;FALSE;TRUE;98186;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98186;;;Metropolitan Museum of Art, New York, NY;;;
09.68.611;FALSE;FALSE;TRUE;98187;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98187;;;Metropolitan Museum of Art, New York, NY;;;
09.68.612;FALSE;FALSE;TRUE;98188;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98188;;;Metropolitan Museum of Art, New York, NY;;;
09.68.617;FALSE;FALSE;TRUE;98193;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;cotton;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98193;;;Metropolitan Museum of Art, New York, NY;;;
09.68.626;FALSE;FALSE;TRUE;98202;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98202;;;Metropolitan Museum of Art, New York, NY;;;
09.68.628;FALSE;FALSE;TRUE;98204;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98204;;;Metropolitan Museum of Art, New York, NY;;;
09.68.629;FALSE;FALSE;TRUE;98205;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98205;;;Metropolitan Museum of Art, New York, NY;;;
09.68.643;FALSE;FALSE;TRUE;98207;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98207;;;Metropolitan Museum of Art, New York, NY;;;
09.68.686;FALSE;FALSE;TRUE;98208;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98208;;;Metropolitan Museum of Art, New York, NY;;;
09.68.687;FALSE;FALSE;TRUE;98209;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;cotton;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98209;;;Metropolitan Museum of Art, New York, NY;;;
09.68.688;FALSE;FALSE;TRUE;98210;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;cotton;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98210;;;Metropolitan Museum of Art, New York, NY;;;
09.68.690;FALSE;FALSE;TRUE;98211;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98211;;;Metropolitan Museum of Art, New York, NY;;;
09.50.2792;FALSE;FALSE;TRUE;102570;;Costume Institute;1909;Shawl;Shawl;British;;;;;;;;;;;;;;;;;;1815–20;1815;1820;silk, cotton;;Rogers Fund, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102570;;;Metropolitan Museum of Art, New York, NY;;;
09.68.427;FALSE;FALSE;TRUE;102580;;Costume Institute;1909;Fichu;Fichu;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102580;;;Metropolitan Museum of Art, New York, NY;;;
09.68.428;FALSE;FALSE;TRUE;102581;;Costume Institute;1909;Fichu;Fichu;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102581;;;Metropolitan Museum of Art, New York, NY;;;
09.68.434;FALSE;FALSE;TRUE;102582;;Costume Institute;1909;Collar;Collar;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102582;;;Metropolitan Museum of Art, New York, NY;;;
09.68.453;FALSE;FALSE;TRUE;102584;;Costume Institute;1909;Veil;Veil;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102584;;;Metropolitan Museum of Art, New York, NY;;;
09.68.487;FALSE;FALSE;TRUE;102585;;Costume Institute;1909;Fichu;Fichu;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102585;;;Metropolitan Museum of Art, New York, NY;;;
09.128.2;FALSE;FALSE;TRUE;102587;;Costume Institute;1909;Veil;Veil;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Gift of Mrs. Philip S. Van Rensselaer, in memory of Mrs. Mary Tallmadge Van Rensselaer, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102587;;;Metropolitan Museum of Art, New York, NY;;;
09.128.11;FALSE;FALSE;TRUE;102590;;Costume Institute;1909;Collar;Collar;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Gift of Mrs. Philip S. Van Rensselaer, in memory of Mrs. Mary Tallmadge Van Rensselaer, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102590;;;Metropolitan Museum of Art, New York, NY;;;
09.128.14;FALSE;FALSE;TRUE;102591;;Costume Institute;1909;Collar;Collar;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Gift of Mrs. Philip S. Van Rensselaer, in memory of Mrs. Mary Tallmadge Van Rensselaer, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102591;;;Metropolitan Museum of Art, New York, NY;;;
11.60.280;FALSE;FALSE;TRUE;102605;;Costume Institute;1911;Collar;Collar;British;;;;;;;;;;;;;;;;;;1825–30;1825;1830;[no medium available];;Bequest of Maria P. James, 1910;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/102605;;;Metropolitan Museum of Art, New York, NY;;;
11.60.316;FALSE;FALSE;TRUE;116119;;Costume Institute;1911;Hat;Hat;British;;;;;;;;;;;;;;;;;;ca. 1800;1795;1805;[no medium available];;Bequest of Maria P. James, 1910;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/116119;;;Metropolitan Museum of Art, New York, NY;;;
09.9.16;FALSE;FALSE;TRUE;191093;;European Sculpture and Decorative Arts;1909;Guinea;"""Spade"" guinea, George III (1760–1820)";British;;;;;;;;;;;;;;;;;;1798;1798;1798;Gold;Diameter: 1 in. (25 mm.);Gift of H.R. Ickelheimer, 1909;;;;;;;;;;;;Coins;;http://www.metmuseum.org/art/collection/search/191093;;;Metropolitan Museum of Art, New York, NY;Men|Profiles|Coins;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/aat/300037222;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q41207
09.11.2;FALSE;FALSE;TRUE;191097;;European Sculpture and Decorative Arts;1909;Medal;Awarded by the Royal Academy of G.F. Munn for Studies from Life, 1874;British;;;;;16510;Artist;Medalist:;William Wyon;British, Birmingham 1795–1851 Brighton; ;Wyon, William;British;1795;1851;;http://vocab.getty.edu/page/ulan/500117324;https://www.wikidata.org/wiki/Q4102532;1874;1874;1874;Silver;;Gift of Mrs. Margaret Crosby Munn, 1909;;;;;;;;;;;;Medals and Plaquettes;;http://www.metmuseum.org/art/collection/search/191097;;;Metropolitan Museum of Art, New York, NY;Profiles|Women;http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/aat/300025943;https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q467
09.43.12;FALSE;FALSE;FALSE;191111;;European Sculpture and Decorative Arts;1909;Medal;To Commemorate the Birmingham XX Century Exhibition;British;;;;;3396;Artist;Medalist:;James Andrews Restall;British, Birmingham 1859–1938 Pershore; ;Restall, James Andrews;British;1859;1938;;http://vocab.getty.edu/page/ulan/500524759;;1900;1900;1900;Gilt bronze;Diameter: 1 3/4 in. (44 mm);Gift of James B. Hammond, 1909;;;;;;;;;;;;Medals and Plaquettes;;http://www.metmuseum.org/art/collection/search/191111;;;Metropolitan Museum of Art, New York, NY;Women|Coat of Arms|Lions;http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300126352|http://vocab.getty.edu/page/aat/300310388;https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q14659|https://www.wikidata.org/wiki/Q140
09.46;FALSE;FALSE;TRUE;191114;;European Sculpture and Decorative Arts;1909;Medal;In Honor of Thomas Carlyle's 80th birthday, 1875;British;;;;;16316216153;Artist|Artist;Medalist:|Medalist:;Joseph Edgar Boehm|George T. Morgan;British (born Austria), Vienna 1834–1890 London|British, Birmingham 1845–1925 Philadelphia, Pennsylvania; | ;Boehm, Joseph Edgar|Morgan, George T.;British, born Austria|British;1834      |1845      ;1890      |1925      ;|;http://vocab.getty.edu/page/ulan/500024998|http://vocab.getty.edu/page/ulan/500524212;https://www.wikidata.org/wiki/Q85180|https://www.wikidata.org/wiki/Q5545045;1875;1875;1875;Bronze, struck;Diameter: 2 1/4 in. (5.7 cm);Gift of Charles Balliard, 1909;;;;;;;;;;;;Medals and Plaquettes;;http://www.metmuseum.org/art/collection/search/191114;;;Metropolitan Museum of Art, New York, NY;Men|Profiles;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010
09.98.1;FALSE;FALSE;FALSE;191126;;European Sculpture and Decorative Arts;1909;Bust;Dante Alighieri (1265–1321);British;;;;;;;;;;;;;;;;;;19th century;1800;1899;Plaster;;Gift of Sir Whitworth Wallis, 1909;;;;;;;;;;;;Sculpture-Reproductions-Casts;;http://www.metmuseum.org/art/collection/search/191126;;;Metropolitan Museum of Art, New York, NY;Men|Portraits;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
09.165.6;FALSE;FALSE;TRUE;191200;;European Sculpture and Decorative Arts;1909;Medal;Commemorating the Capture of Porto Bello in 1739;British;;;;;;;;;;;;;;;;;;ca. 1740;1735;1745;Brass;Diameter: 40 mm;Gift of Mr. and Mrs. Frederick S. Wait, 1909;;;;;;;;;;;;Medals and Plaquettes;;http://www.metmuseum.org/art/collection/search/191200;;;Metropolitan Museum of Art, New York, NY;Cannons|Men|Ships;http://vocab.getty.edu/page/aat/300036936|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300082981;https://www.wikidata.org/wiki/Q81103|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q11446
09.202.3;FALSE;FALSE;TRUE;191251;;European Sculpture and Decorative Arts;1909;Chair;Three-legged chair;British;;;;;;;;;;;;;;;;;;late 16th–early 17th century;1585;1615;Ash with oak seat;Height: 32 1/2 in. (82.6 cm);Rogers Fund, 1909;;;;;;;;;;;;Woodwork-Furniture;;http://www.metmuseum.org/art/collection/search/191251;;;Metropolitan Museum of Art, New York, NY;;;
09.219.1;FALSE;FALSE;TRUE;191257;;European Sculpture and Decorative Arts;1909;Mantelpiece;Mantelpiece;British;;;;;;;;;;;;;;;;;;1770–80;1770;1780;Marble;Overall: 65 1/2 × 85 1/2 in. (166.4 × 217.2 cm);Rogers Fund, 1909;;;;;;;;;;;;Sculpture-Architectural;;http://www.metmuseum.org/art/collection/search/191257;;;Metropolitan Museum of Art, New York, NY;;;
11.1.1;FALSE;FALSE;TRUE;191628;;European Sculpture and Decorative Arts;1911;Dressing table;Dressing table;British;;;;;;;;;;;;;;;;;;ca. 1790;1785;1795;Mahogany and boxwood;Overall: 31 1/2 × 22 × 19 5/8 in. (80 × 55.9 × 49.8 cm);Gift of John L. Cadwalader, 1911;;;;;;;;;;;;Woodwork-Furniture;;http://www.metmuseum.org/art/collection/search/191628;;;Metropolitan Museum of Art, New York, NY;;;
11.60.118a–d;FALSE;FALSE;FALSE;191696;;European Sculpture and Decorative Arts;1911;Tea caddy;Tea caddy;British;;;;;;;;;;;;;;;;;;18th–19th century;1700;1899;Lacquer;;;;;;;;;;;;;;;;;;;;;;
11.60.119;FALSE;FALSE;FALSE;191697;;European Sculpture and Decorative Arts;1911;Coaster;Coaster;British;;;;;;;;;;;;;;;;;;18th–19th century;1700;1899;Lacquer;Overall: 1 × 5 1/4 in. (2.5 × 13.3 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Natural Substances;;http://www.metmuseum.org/art/collection/search/191697;;;Metropolitan Museum of Art, New York, NY;;;
11.60.120;FALSE;FALSE;FALSE;191698;;European Sculpture and Decorative Arts;1911;Coaster;Coaster;British;;;;;;;;;;;;;;;;;;18th–19th century;1700;1899;Lacquer;Overall: 1 × 5 1/4 in. (2.5 × 13.3 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Natural Substances;;http://www.metmuseum.org/art/collection/search/191698;;;Metropolitan Museum of Art, New York, NY;;;
11.60.124;FALSE;FALSE;TRUE;191699;;European Sculpture and Decorative Arts;1911;Brush holder;Brush holder;British;;;;;;;;;;;;;;;;;;early 19th century;1800;1815;Lacquer;Length: 23 in. (58.4 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Natural Substances;;http://www.metmuseum.org/art/collection/search/191699;;;Metropolitan Museum of Art, New York, NY;;;
11.60.137;FALSE;FALSE;TRUE;191703;;European Sculpture and Decorative Arts;1911;Goblet;Goblet;British;;;;;;;;;;;;;;;;;;ca. 1790;1785;1795;Glass;Height: 5 1/8 in. (13 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191703;;;Metropolitan Museum of Art, New York, NY;;;
11.60.138b;FALSE;FALSE;TRUE;191704;;European Sculpture and Decorative Arts;1911;Wineglass;Wineglass;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;Glass;Height: 5 3/4 in. (14.6 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191704;;;Metropolitan Museum of Art, New York, NY;;;
11.60.139a;FALSE;FALSE;TRUE;191705;;European Sculpture and Decorative Arts;1911;Wineglass;Wineglass;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;Glass;Overall: 3 3/4 × 2 1/4 in. (9.5 × 5.7 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191705;;;Metropolitan Museum of Art, New York, NY;;;
11.60.139b;FALSE;FALSE;TRUE;191706;;European Sculpture and Decorative Arts;1911;Wineglass;Wineglass;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;Glass;Height: 3 3/4 in. (9.5 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191706;;;Metropolitan Museum of Art, New York, NY;;;
11.60.140;FALSE;FALSE;TRUE;191707;;European Sculpture and Decorative Arts;1911;Ale glass;Ale glass;British;;;;;;;;;;;;;;;;;;late 18th century;1785;1799;Glass;Height: 5 3/16 in. (13.2 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191707;;;Metropolitan Museum of Art, New York, NY;;;
11.60.141;FALSE;FALSE;TRUE;191708;;European Sculpture and Decorative Arts;1911;Wineglass;Wineglass;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;Glass;Height: 4 11/16 in. (11.9 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191708;;;Metropolitan Museum of Art, New York, NY;;;
11.60.143a–t;FALSE;FALSE;TRUE;191710;;European Sculpture and Decorative Arts;1911;Canteen with bottles, glasses and dish;Canteen with twelve bottles, six glasses and one dish;British;;;;;;;;;;;;;;;;;;late 18th century;1785;1799;Glass, mahogany, brass;Overall: 9 × 15 × 11 in. (22.9 × 38.1 × 27.9 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191710;;;Metropolitan Museum of Art, New York, NY;;;
11.60.144a–s;FALSE;FALSE;TRUE;191711;;European Sculpture and Decorative Arts;1911;Canteen bottles and wineglasses;Canteen with thirteen bottles and five wineglasses;British;;;;;;;;;;;;;;;;;;late 18th century;1785;1799;Oak, glass;Overall: 11 × 10 × 13 1/4 in. (27.9 × 25.4 × 33.7 cm);Bequest of Mrs. Maria P. James, 1911;;;;;;;;;;;;Glass;;http://www.metmuseum.org/art/collection/search/191711;;;Metropolitan Museum of Art, New York, NY;;;
11.63;FALSE;FALSE;TRUE;191713;;European Sculpture and Decorative Arts;1911;Cabinet;Cabinet;British;;;;;;;;;;;;;;;;;;late 17th–early 18th century;1685;1715;Walnut, holly, and other woods;74 1/2 × 44 1/2 × 17 1/4 in. (189.2 × 113 × 43.8 cm);Rogers Fund, 1911;;;;;;;;;;;;Woodwork-Furniture;;http://www.metmuseum.org/art/collection/search/191713;;;Metropolitan Museum of Art, New York, NY;;;
11.117.13;FALSE;FALSE;TRUE;191750;;European Sculpture and Decorative Arts;1911;Coat of arms;Royal Arms of Great Britain;British;;;;;;;;;;;;;;;;;;1660–88;1660;1688;Rolled cardboard, in frame;Framed: 17 3/4 × 14 × 4 1/4 in. (45.1 × 35.6 × 10.8 cm);Rogers Fund, 1911;;;;;;;;;;;;Paper;;http://www.metmuseum.org/art/collection/search/191750;;;Metropolitan Museum of Art, New York, NY;Unicorns|Coat of Arms;http://vocab.getty.edu/page/aat/300379595|http://vocab.getty.edu/page/aat/300126352;https://www.wikidata.org/wiki/Q7246|https://www.wikidata.org/wiki/Q14659
11.117.15;FALSE;FALSE;TRUE;191752;;European Sculpture and Decorative Arts;1911;Basket;Basket;British;;;;;;;;;;;;;;;;;;late 18th or early 19th century;1785;1815;Straw on wood, rose paper;Overall: 9 5/8 × 8 7/8 × 5 7/8 in. (24.4 × 22.5 × 14.9 cm);Rogers Fund, 1911;;;;;;;;;;;;Natural Substances;;http://www.metmuseum.org/art/collection/search/191752;;;Metropolitan Museum of Art, New York, NY;;;
11.133.5;FALSE;FALSE;TRUE;191784;;European Sculpture and Decorative Arts;1911;Plaque;Plaque;British;;;;;16605;Maker; ;Enoch Wood;British, 1759–1846; ;Wood, Enoch;British;1759;1846;;http://vocab.getty.edu/page/ulan/500111014;https://www.wikidata.org/wiki/Q52149383;18th century;1700;1799;Lead-glazed earthenware;Height: 8 5/8 in. (21.9 cm);Frederick C. Hewitt Fund, 1911;;;;;;;;;;;;Ceramics-Pottery;;http://www.metmuseum.org/art/collection/search/191784;;;Metropolitan Museum of Art, New York, NY;Women;http://vocab.getty.edu/page/aat/300025943;https://www.wikidata.org/wiki/Q467
11.133.9;FALSE;FALSE;TRUE;191787;;European Sculpture and Decorative Arts;1911;Chair;Chair;British;;;;;;;;;;;;;;;;;;ca. 1690–95;1685;1700;Walnut;Height: 54 1/4 in. (137.8 cm);Frederick C. Hewitt Fund, 1911;;;;;;;;;;;;Woodwork-Furniture;;http://www.metmuseum.org/art/collection/search/191787;;;Metropolitan Museum of Art, New York, NY;Men|Profiles;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010
11.177;FALSE;FALSE;FALSE;191817;;European Sculpture and Decorative Arts;1911;Medal;Coronation of King George V and Queen Mary, 1911;British;;;;;337523329;Artist|Artist;Medalist (obverse):|Medalist (reverse):;Frank Bowcher|Spink;British, London 1864–1938 London| ; | ;Bowcher, Frank|Spink;British| ;1864      |1900      ;1938      |2000      ;|;http://vocab.getty.edu/page/ulan/500123523|;https://www.wikidata.org/wiki/Q21644895|;20th century;1900;1999;Bronze, struck;Diameter: 1 1/2 in. (3.8 cm);Gift of Edward D. Adams, 1911;;;;;;;;;;;;Medals and Plaquettes;;http://www.metmuseum.org/art/collection/search/191817;;;Metropolitan Museum of Art, New York, NY;Kings|Queens|Ceremony|Medals;http://vocab.getty.edu/page/aat/300025481|http://vocab.getty.edu/page/aat/300025483|http://vocab.getty.edu/page/aat/300054754|http://vocab.getty.edu/page/aat/300046025;https://www.wikidata.org/wiki/Q12097|https://www.wikidata.org/wiki/Q16511993|https://www.wikidata.org/wiki/Q2627975|https://www.wikidata.org/wiki/Q131647
17.111.2;FALSE;FALSE;FALSE;193415;;European Sculpture and Decorative Arts;1917;Side table;Side table;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;Mahogany;Overall: 37 × 66 5/8 × 27 1/2 in. (94 × 169.2 × 69.9 cm);Cadwalader Fund, 1917;;;;;;;;;;;;Woodwork-Furniture;;http://www.metmuseum.org/art/collection/search/193415;;;Metropolitan Museum of Art, New York, NY;;;
17.190.307;FALSE;FALSE;TRUE;193456;;European Sculpture and Decorative Arts;1917;Medallion;Medallion;British;;;;;;;;;;;;;;;;;;16th century;1500;1599;Silver gilt;Overall (with chain): 7 7/8 × 3 1/2 in. (20 × 8.9 cm);Gift of J. Pierpont Morgan, 1917;;;;;;;;;;;;Metalwork-Silver;;http://www.metmuseum.org/art/collection/search/193456;;;Metropolitan Museum of Art, New York, NY;Horses|Dragons;http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300375726;https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q7559
17.190.890;FALSE;FALSE;TRUE;193677;;European Sculpture and Decorative Arts;1917;Badge;Badge of the Order of the Garter;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;Gold, enamel;3 1/4 × 1 1/2 in. (8.3 × 3.8 cm);Gift of J. Pierpont Morgan, 1917;;;;;;;;;;;;Metalwork-Gold and Platinum;;http://www.metmuseum.org/art/collection/search/193677;;;Metropolitan Museum of Art, New York, NY;Horses|Dragons|Saint Michael;http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300375726| ;https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q45581
171.901.000;FALSE;FALSE;TRUE;193716;;European Sculpture and Decorative Arts;1917;Locket;Locket containing lock of Prince Charles Edward's hair;British;;;;;;;;;;;;;;;;;;ca. 1746;1741;1751;Silver gilt, human hair;1-7/8 x 7/8 in.  (4.8 x 2.2 cm);Gift of J. Pierpont Morgan, 1917;;;;;;;;;;;;Metalwork-Gold and Platinum|Jewelry;;http://www.metmuseum.org/art/collection/search/193716;;;Metropolitan Museum of Art, New York, NY;;;
